,textfile,imageName,imagePath,altitude.raw,ind,TL.px,HF.px,HD.px,notes
12,Gal2023_DJIMini2_20230208_084058_112.779.png.csv,Gal2023_DJIMini2_20230208_084058_112.779.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_112.779.png,27.5,1,740.65,NA,511.33,
13,Gal2023_DJIMini2_20230208_084058_138.005.png.csv,Gal2023_DJIMini2_20230208_084058_138.005.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230208/Gal2023_DJIMini2_20230208_084058_138.005.png,26.6,1,788.9,NA,544.47,
14,Gal2023_DJIMini2_20230215_093319.MP4_00_01_39.csv,Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png,23.6,1,580.95,176.55,370.24,aj
15,Gal2023_DJIMini2_20230215_093319_107.574.png.csv,Gal2023_DJIMini2_20230215_093319_107.574.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_107.574.png,20.5,1,646.6,NA,423.62,
16,Gal2023_DJIMini2_20230215_093319_150.984.png.csv,Gal2023_DJIMini2_20230215_093319_150.984.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_093319/Gal2023_DJIMini2_20230215_093319_150.984.png,17.6,1,716.76,NA,457.99,
17,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png.csv,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,28.3,1,503.8,156.05,326.85,aj
18,Gal2023_DJIMini2_20230215_094557_135.335.png.csv,Gal2023_DJIMini2_20230215_094557_135.335.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_135.335.png,22.4,1,587.9,203.59,377.01,
19,Gal2023_DJIMini2_20230215_094557_70.938.png.csv,Gal2023_DJIMini2_20230215_094557_70.938.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_70.938.png,28.2,1,542.17,171.39,354.5,
20,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png.csv,Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png,28.3,2,340.65,98.11,212.63,cj
21,Gal2023_DJIMini2_20230215_094557_155.355.png.csv,Gal2023_DJIMini2_20230215_094557_155.355.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_155.355.png,16.6,2,535.35,NA,342.9,
22,Gal2023_DJIMini2_20230215_094557_249.516.png.csv,Gal2023_DJIMini2_20230215_094557_249.516.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_249.516.png,17,2,555.97,152.8,363.13,
23,Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001m.csv,Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png,25.4,1,559.88,NA,364.86,aj
24,Gal2023_DJIMini2_20230215_101509_271.905.png.csv,Gal2023_DJIMini2_20230215_101509_271.905.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509/Gal2023_DJIMini2_20230215_101509_271.905.png,44.1,1,327.5,NA,209.1,
25,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png.csv,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,30.5,1,522.33,165.54,345.87,aj
26,Gal2023_DJIMini2_20230215_145125_367.767.png.csv,Gal2023_DJIMini2_20230215_145125_367.767.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_367.767.png,29.6,1,531.32,154.73,351.13,
27,Gal2023_DJIMini2_20230215_145125_542.509.png.csv,Gal2023_DJIMini2_20230215_145125_542.509.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_542.509.png,30,1,538.02,172.41,352.81,
28,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png.csv,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,30.5,2,491.31,133.82,323.01,"cj
"
29,Gal2023_DJIMini2_20230215_145125_489.756.png.csv,Gal2023_DJIMini2_20230215_145125_489.756.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_489.756.png,11,2,1284.66,386.25,857.05,
30,Gal2023_DJIMini2_20230215_145125_542.509.png.csv,Gal2023_DJIMini2_20230215_145125_542.509.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_542.509.png,30,2,498.78,144.28,327.79,
31,Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003m.csv,Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind1/Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png,31.2,1,518.37,151.37,342.91,"aj
"
32,Gal2023_DJIMini2_20230215_152449_230.330.png.csv,Gal2023_DJIMini2_20230215_152449_230.330.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_230.330.png,31.1,1,518,164.65,340.6,
33,Gal2023_DJIMini2_20230215_152449_414.915.png.csv,Gal2023_DJIMini2_20230215_152449_414.915.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png,31.4,1,504.73,NA,332.78,
34,Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005m.csv,Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind2/Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005.png,31.4,2,467.45,132.95,306.35,"aj
"
35,Gal2023_DJIMini2_20230215_152449_414.915.png.csv,Gal2023_DJIMini2_20230215_152449_414.915.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png,31.4,2,467.81,132.44,310.96,
36,Gal2023_DJIMini2_20230215_152449_445.612.png.csv,Gal2023_DJIMini2_20230215_152449_445.612.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_445.612.png,31.3,2,486.72,143.09,316.39,
37,Gal2023_DJIMini2_20230215_155136_106.873.png.csv,Gal2023_DJIMini2_20230215_155136_106.873.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_106.873.png,13.9,1,933.45,315.26,611.65,
38,Gal2023_DJIMini2_20230215_155136_126.059.png.csv,Gal2023_DJIMini2_20230215_155136_126.059.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_126.059.png,10.8,1,1043.62,320.15,674.81,
39,Gal2023_DJIMini2_20230215_155136_88.689.png.csv,Gal2023_DJIMini2_20230215_155136_88.689.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/ind1/Gal2023_DJIMini2_20230215_155136_88.689.png,21.9,1,607.22,201.07,421.05,aj
40,Gal2023_DJIMini2_20230215_174209_130.163.png.csv,Gal2023_DJIMini2_20230215_174209_130.163.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png,34.9,1,443.86,NA,291.24,
41,Gal2023_DJIMini2_20230215_174209_58.258m.csv,Gal2023_DJIMini2_20230215_174209_58.258.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind1/Gal2023_DJIMini2_20230215_174209_58.258.png,35.5,1,423.85,138.66,271.86,aj
42,Gal2023_DJIMini2_20230215_174209_96.763.png.csv,Gal2023_DJIMini2_20230215_174209_96.763.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png,34.8,1,449.16,145.21,298.29,
43,Gal2023_DJIMini2_20230215_174209_130.163.png.csv,Gal2023_DJIMini2_20230215_174209_130.163.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png,34.9,2,374.42,119.39,243.96,
44,Gal2023_DJIMini2_20230215_174209_434.csv,Gal2023_DJIMini2_20230215_174209_434.501.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind2/Gal2023_DJIMini2_20230215_174209_434.501.png,20.8,2,579.49,205.2,375.84,aj
45,Gal2023_DJIMini2_20230215_174209_96.763.png.csv,Gal2023_DJIMini2_20230215_174209_96.763.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png,34.8,2,380.21,NA,246.59,
46,Gal2023_DJIMini2_20230215_174209_126.860m.csv,Gal2023_DJIMini2_20230215_174209_126.860.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind3/Gal2023_DJIMini2_20230215_174209_126.860.png,35.1,3,382.87,109.41,254.9,aj
47,Gal2023_DJIMini2_20230215_174209_130.163.png.csv,Gal2023_DJIMini2_20230215_174209_130.163.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png,34.9,3,389.99,113.97,267.04,
48,Gal2023_DJIMini2_20230215_174209_73.874.png.csv,Gal2023_DJIMini2_20230215_174209_73.874.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_73.874.png,35.4,3,366.74,109.91,252.13,
49,Gal2023_DJIMini2_20230215_175516_271.705.png.csv,Gal2023_DJIMini2_20230215_175516_271.705.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_271.705.png,20,1,577.37,NA,375.79,
50,Gal2023_DJIMini2_20230215_175516_272.472m.csv,Gal2023_DJIMini2_20230215_175516_272.472.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind1/Gal2023_DJIMini2_20230215_175516_272.472.png,19.9,1,575.75,179.84,376.11,aj
51,Gal2023_DJIMini2_20230215_175516_300.867.png.csv,Gal2023_DJIMini2_20230215_175516_300.867.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_300.867.png,20,1,591.38,NA,367.48,
52,Gal2023_DJIMini2_20230215_175516_271.705.png.csv,Gal2023_DJIMini2_20230215_175516_271.705.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind1/Gal2023_DJIMini2_20230215_175516_271.705.png,19.9,2,463.02,NA,294.33,
53,Gal2023_DJIMini2_20230215_175516_287.254m.csv,Gal2023_DJIMini2_20230215_175516_287.254.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind2/Gal2023_DJIMini2_20230215_175516_287.254.png,20,2,453.3,NA,287.24,"cj
"
54,Gal2023_DJIMini2_20230215_175516_318.185.png.csv,Gal2023_DJIMini2_20230215_175516_318.185.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_318.185.png,19.8,2,452.56,NA,281.44,
55,Gal2023_DJIMini2_20230216_093838_34.301.png.csv,Gal2023_DJIMini2_20230216_093838_34.301.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_34.301.png,25.2,1,555.67,179.87,359.96,aj
56,Gal2023_DJIMini2_20230216_093838_37.571.png.csv,Gal2023_DJIMini2_20230216_093838_37.571.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_37.571.png,24.3,1,568.2,190.26,370.43,aj
57,Gal2023_DJIMini2_20230216_093838_34.301.png.csv,Gal2023_DJIMini2_20230216_093838_34.301.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_34.301.png,25.2,2,611.29,191.03,407.65,aj
58,Gal2023_DJIMini2_20230216_093838_37.571.png.csv,Gal2023_DJIMini2_20230216_093838_37.571.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_37.571.png,24.3,2,643.84,200.8,416.29,aj
59,Gal2023_DJIMini2_20230217_150226_107.941.png.csv,Gal2023_DJIMini2_20230217_150226_107.941.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_107.941.png,126.9,1,112.34,NA,72.64,aj
60,Gal2023_DJIMini2_20230217_150226_85.986.png.csv,Gal2023_DJIMini2_20230217_150226_85.986.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_85.986.png,111.3,1,129.72,NA,82.84,aj
61,Gal2023_DJIMini2_20230217_150226_107.941.png.csv,Gal2023_DJIMini2_20230217_150226_107.941.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_107.941.png,126.9,2,111.23,NA,72.58,aj
62,Gal2023_DJIMini2_20230217_150226_85.986.png.csv,Gal2023_DJIMini2_20230217_150226_85.986.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_85.986.png,111.3,2,127.84,NA,78.58,aj
63,Gal2023_DJIMini2_20230217_150226_107.941.png.csv,Gal2023_DJIMini2_20230217_150226_107.941.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_107.941.png,126.9,3,126.71,NA,79.34,aj
64,Gal2023_DJIMini2_20230217_150226_85.986.png.csv,Gal2023_DJIMini2_20230217_150226_85.986.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_85.986.png,111.3,3,143.14,NA,87.48,aj
65,Gal2023_DJIMini2_20230217_150226_107.941.png.csv,Gal2023_DJIMini2_20230217_150226_107.941.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_107.941.png,126.9,4,115.43,31.61,72.44,aj
66,Gal2023_DJIMini2_20230217_150226_85.986.png.csv,Gal2023_DJIMini2_20230217_150226_85.986.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_85.986.png,111.3,4,130.98,37.82,85.53,aj
67,Gal2023_DJIMini2_20230217_150226_85.986.png.csv,Gal2023_DJIMini2_20230217_150226_85.986.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226_85.986.png,126.9,5,139.11,NA,91.4,aj
68,Gal2023_DJIMini2_20230217_152121_191.491.png.csv,Gal2023_DJIMini2_20230217_152121_191.491.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_191.491.png,120.5,1,112.85,NA,71.9,aj
69,Gal2023_DJIMini2_20230217_152121_195.662.png.csv,Gal2023_DJIMini2_20230217_152121_195.662.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_195.662.png,120.8,1,114.68,NA,66.9,aj
70,Gal2023_DJIMini2_20230217_152121_207.474.png.csv,Gal2023_DJIMini2_20230217_152121_207.474.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_207.474.png,120.7,1,116.15,NA,71.28,aj
71,Gal2023_DJIMini2_20230217_152121_191.491.png.csv,Gal2023_DJIMini2_20230217_152121_191.491.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_191.491.png,120.5,2,125.35,NA,81.18,aj
72,Gal2023_DJIMini2_20230217_152121_195.662.png.csv,Gal2023_DJIMini2_20230217_152121_195.662.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_195.662.png,120.8,2,125.68,NA,79.96,aj
73,Gal2023_DJIMini2_20230217_152121_207.474.png.csv,Gal2023_DJIMini2_20230217_152121_207.474.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_207.474.png,120.7,2,123.48,NA,62.1,aj
74,Gal2023_DJIMini2_20230217_152121_344.244.png.csv,Gal2023_DJIMini2_20230217_152121_344.244.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_344.244.png,38.1,3,408.84,126.9,265.41,aj
75,Gal2023_DJIMini2_20230217_152121_350.584.png.csv,Gal2023_DJIMini2_20230217_152121_350.584.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_350.584.png,37.8,3,407.84,118.51,264.69,aj
76,Gal2023_DJIMini2_20230217_152121_363.129.png.csv,Gal2023_DJIMini2_20230217_152121_363.129.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_363.129.png,37.8,3,442.47,130.51,283.09,aj
77,Gal2023_DJIMini2_20230217_152121_378.445.png.csv,Gal2023_DJIMini2_20230217_152121_378.445.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_378.445.png,31.4,4,476.21,138.78,304.05,aj
78,Gal2023_DJIMini2_20230217_152121_388.755.png.csv,Gal2023_DJIMini2_20230217_152121_388.755.png,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_388.755.png,30.2,4,503.79,145,312.28,aj
